feature_name,mutual_information,variance,random_forest_importance,combined_score
noise_high_frequency_residual_ratio,0.010889660027431983,0.00023521561877461427,0.004834002000917426,0.36923076923076925
channel_corr_rb,0.0,0.03895227449741201,0.003930530475535421,0.3626373626373627
channel_corr_rg,0.0,0.009062737636829656,0.0042994782148588475,0.3516483516483517
edge_continuity,0.0,3.855055732881935e-05,0.007348182844141591,0.3318681318681319
brightness_column_periodicity,0.04060234376553941,8.522855453599397e-05,0.0027244427451475284,0.3318681318681319
reflection_area_ratio,0.0,0.0008864279756112005,0.0052558193139992,0.33186813186813185
dominant_edge_orientation_2,0.012231467937036486,0.08571558261209491,0.001546798368966329,0.3164835164835165
moire_aliasing_score,0.05950087304542463,8.03003153567712e-07,0.0026034723266211905,0.3142857142857143
noise_local_variance_std,0.007262182671141065,5.339578125799299e-06,0.0035447700718775786,0.2879120879120879
fft_peak_radius_3,0.014861378829659252,0.0007533962575077683,0.0024798908269494232,0.2813186813186813
texture_local_variance_mean,0.0,5.570654995493049e-05,0.004246975754469254,0.25934065934065936
edge_orientation_entropy,0.0,0.06599763651184372,0.0020532617078478383,0.24395604395604398
brightness_column_period,0.0,52.29725404609601,0.0012009303659804907,0.23956043956043957
moire_interference_entropy,0.0,0.00020443308430870825,0.0031921421728848594,0.2351648351648352
noise_local_variance_mean,0.0,5.525934727227843e-06,0.003807131420352473,0.232967032967033
sharpness_laplacian_variance,0.005918234717023588,0.00042026101930649207,0.0024455151905518418,0.2263736263736264
dominant_edge_orientation_1,0.0,0.07705340651918371,0.0015542748691535072,0.21978021978021983
fft_mid_frequency_ratio,0.0,0.00015245921184678886,0.0030331463106043994,0.21098901098901102
brightness_row_periodicity,0.0,9.386689308218187e-05,0.0028705857548810393,0.20219780219780223
brightness_scanline_strength,0.0,9.874144981878114e-05,0.0028083174550540975,0.2
sharpness_blur_estimate,0.005918234717023588,0.00035137422911622843,0.001900219758753023,0.19780219780219782
fft_peak_radius_1,0.0003234450120643967,0.00031950353446348053,0.001626442699009866,0.17252747252747255
fft_peak_radius_2,0.0003234450120643967,0.00031950353446348053,0.001386096605244545,0.15494505494505495
reflection_intensity_peak,0.0,0.006299663752796384,0.0005046125821130244,0.14945054945054947
glare_peak_intensity,0.0,0.0009883332746049387,0.0018738262640468032,0.14725274725274726
noise_estimated_sensor_noise,0.0,0.00031397931925227456,0.0019714616236399833,0.13626373626373628
moire_directional_peak_strength,0.0,4.089029034863352e-05,0.002113027045683185,0.12307692307692308
moire_interference_peak_count,0.0,0.0028168789300647957,0.0,0.1208791208791209
glare_bloom_estimation,0.0,2.2058760536815394e-06,0.0012103344162650604,0.07032967032967033
